Fid,Age,Gender,Street ,City,Latitude,Longitude,DateTime,Consumed_Power_Units,Sector,Division,Label
10.42.0.211-104.192.110.245-53242-443-6,69,Female,1212 West Broadway,Vancouver,49.263277,-123.131528,04-01-23 10:49,1290,Commerical,Div1,0
172.217.10.106-10.42.0.42-443-53205-6,57,Male,1212 West Broadway,Vancouver,49.263277,-123.131528,04-01-23 11:14,1270,Commercial Shops,Div2,1
10.42.0.151-111.221.77.173-43477-40010-17,42,Male,1669 East Broadway,Vancouver,49.262625,-123.070543,04-01-23 11:25,2010,Industrial,Div1,1
172.217.10.46-10.42.0.151-443-55531-6,53,Male,8100 Granville Avenue,Richmond,49.16266,-123.134769,04-01-23 11:28,1370,Residential,Div2,0
203.130.53.126-10.42.0.211-80-52261-6,50,Female,803 West 12th Avenue,Vancouver,49.26059,-123.122337,04-01-23 11:31,1380,Transportation,Div4,1
10.42.0.211-36.110.213.174-55987-443-6,60,Male,4255 Laurel Street,Vancouver,49.247655,-123.124795,04-01-23 12:41,1380,Commerical,Div10,0
10.42.0.211-64.71.142.95-53808-443-6,60,Female,5630 Inlet Avenue,Sechelt,49.476194,-123.756297,04-01-23 12:48,1380,Commercial Shops,Div11,0
172.217.12.130-10.42.0.211-443-44096-6,59,Male,7000 Westminster Highway,Richmond,49.170162,-123.147547,04-01-23 12:53,1380,Industrial,Div7,1
203.205.179.172-10.42.0.211-80-40197-6,54,Male,7900 Alderbridge Way,Richmond,49.176868,-123.138875,04-01-23 13:17,1662,Residential,Div6,1
10.42.0.211-10.42.0.1-29935-53-17,70,Male,7900 Alderbridge Way,Richmond,49.176868,-123.138875,04-01-23 13:35,1662,Transportation,Div5,0
10.42.0.211-120.76.223.181-58745-83-6,60,Female,132 Esplanade West,North Vancouver,49.311674,-123.080569,04-01-23 13:40,5764,Commerical,Div4,1
151.101.45.140-10.42.0.211-443-48544-6,60,Female,7000 Westminster Highway,Richmond,49.170162,-123.147547,04-01-23 13:49,250,Commercial Shops,Div3,0
183.57.48.84-10.42.0.151-80-42112-6,55,Male,59 West Pender Street,Vancouver,49.28123,-123.106776,04-01-23 14:06,5764,Industrial,Div15,1
10.42.0.211-67.129.144.48-52728-80-6,50,Male,2110 West 43rd Avenue,Vancouver,49.232689,-123.156036,04-01-23 14:09,5764,Residential,Div12,0
